N,S,wire_ns,proto_alloc_ns,proto_prealloc_ns
1,1,769,829,767
1,100,824,1003,830
1,1000,1373,1944,1364
1,10000,6935,8634,5896
3,1,3360,6439,5881
3,100,3468,6754,6173
3,1000,5375,9506,8652
3,10000,24164,48901,29028
